1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
25.0,-113007.96875,-43963.88671875,491000.6875,52353.43359375,490850.21875,490968.96875,-84275.140625,-123866.15625,0
27.0,-112686.171875,-51303.75,490507.15625,50541.6015625,490355.625,490474.84375,-84566.828125,-125639.296875,0
28.0,-112876.7421875,-51848.0390625,490805.34375,51564.328125,490654.15625,490773.375,-84493.203125,-125213.6328125,0
29.0,-112998.25,-45310.625,491027.03125,52505.515625,490875.6875,490994.78125,-84269.7734375,-123972.0390625,0
30.0,-112839.4609375,-43522.6640625,490786.84375,51780.6484375,490635.65625,490754.8125,-84290.765625,-124145.9765625,0
31.0,-112676.3828125,-49643.12890625,490498.96875,50602.82421875,490347.09375,490466.59375,-84517.140625,-125390.7890625,0
0.0,-112806.0703125,-52752.01171875,490685.0,51116.46484375,490533.53125,490652.53125,-84553.8203125,-125513.1015625,0
1.0,-112983.2265625,-47093.6875,491008.40625,52401.24609375,490857.59375,490976.0,-84322.015625,-124220.140625,0
2.0,-112907.9921875,-43047.30859375,490874.5,52104.66015625,490723.28125,490842.4375,-84264.2109375,-123931.46875,0
3.0,-112716.953125,-47686.0546875,490539.0,50818.33984375,490387.46875,490506.6875,-84471.4140625,-125065.7734375,0
4.0,-112746.3203125,-52833.75,490585.6875,50819.74609375,490433.875,490553.21875,-84587.6171875,-125689.1171875,0
5.0,-112960.15625,-49024.54296875,490951.34375,52099.765625,490799.9375,490919.40625,-84392.484375,-124555.21875,0
6.0,-112931.859375,-43319.41796875,490953.40625,52267.06640625,490802.28125,490921.84375,-84255.5625,-123824.6484375,0
7.0,-112705.21875,-45800.39453125,490612.84375,51105.203125,490460.8125,490580.65625,-84390.7421875,-124672.6328125,0
8.0,-112710.515625,-52214.5625,490506.34375,50521.6875,490354.875,490474.25,-84603.84375,-125694.1484375,0
9.0,-112913.3515625,-50794.80078125,490862.75,51752.55078125,490711.75,490830.5625,-84475.4375,-124919.859375,0
10.0,-112958.6171875,-44225.53515625,490995.65625,52459.58203125,490844.125,490963.59375,-84274.40625,-123845.90625,0
11.0,-112790.9765625,-44265.56640625,490697.125,51442.35546875,490545.65625,490664.75,-84354.3359375,-124331.3203125,0
12.0,-112679.8671875,-50854.078125,490479.65625,50503.8515625,490328.25,490447.34375,-84572.53125,-125552.2578125,0
13.0,-112845.828125,-52109.890625,490756.28125,51419.890625,490605.1875,490723.625,-84535.78125,-125274.3828125,0
14.0,-112988.9921875,-45722.07421875,491006.25,52491.90234375,490855.1875,490974.40625,-84318.9921875,-123988.734375,0
15.0,-112862.0546875,-43316.19921875,490789.46875,51817.52734375,490637.65625,490757.46875,-84319.328125,-124049.015625,0
16.0,-112679.6640625,-49120.30078125,490485.5,50611.40625,490334.5,490453.59375,-84530.421875,-125288.734375,0
17.0,-112766.5703125,-52802.1015625,490643.625,51064.90234375,490492.75,490611.625,-84568.7734375,-125530.46875,0
18.0,-112949.09375,-47557.30859375,490982.3125,52372.07421875,490831.03125,490950.53125,-84335.4921875,-124234.6875,0
19.0,-112901.484375,-43013.04296875,490880.125,52107.54296875,490728.5,490847.8125,-84262.0,-123819.953125,0
20.0,-112695.09375,-47111.2578125,490546.25,50877.21484375,490395.125,490514.53125,-84438.421875,-124918.921875,0
21.0,-112721.9765625,-52690.38671875,490551.6875,50733.515625,490401.28125,490520.3125,-84573.8046875,-125662.6328125,0
22.0,-112926.296875,-49435.2578125,490926.78125,52101.171875,490775.65625,490894.9375,-84371.8359375,-124598.1328125,0
23.0,-112936.6875,-43388.41796875,490961.1875,52402.71875,490809.59375,490928.6875,-84217.7421875,-123753.1640625,0
24.0,-112749.40625,-45246.65234375,490623.90625,51218.390625,490472.625,490591.1875,-84349.90625,-124545.7578125,0
25.0,-112683.6875,-51809.01171875,490489.9375,50540.59765625,490339.1875,490458.09375,-84550.8046875,-125627.0234375,0
26.0,-112880.96875,-51125.05078125,490834.46875,51740.484375,490684.0,490802.75,-84431.9140625,-124961.8359375,0
27.0,-112956.8046875,-44505.2890625,491001.90625,52532.94140625,490851.5,490970.1875,-84216.734375,-123794.8125,0
28.0,-112788.6328125,-43835.34375,490727.5,51654.8515625,490576.96875,490695.59375,-84287.75,-124188.6875,0
29.0,-112641.78125,-50279.34765625,490475.375,50631.25390625,490324.71875,490443.1875,-84506.75,-125427.3359375,0
30.0,-112792.7265625,-52236.890625,490720.46875,51349.484375,490569.125,490688.5625,-84479.9921875,-125280.4140625,0
31.0,-112952.984375,-46069.890625,491009.9375,52466.82421875,490857.875,490978.03125,-84252.6796875,-123983.1015625,0
0.0,-112838.453125,-42990.51171875,490828.5625,51968.40234375,490677.0,490797.03125,-84243.2265625,-123927.0390625,0
1.0,-112645.5390625,-48386.1796875,490507.625,50779.78125,490356.21875,490476.1875,-84455.8515625,-125148.3203125,0
2.0,-112751.21875,-52761.734375,490604.25,50926.296875,490452.84375,490572.40625,-84558.921875,-125554.671875,0
3.0,-112944.203125,-48008.25390625,490966.90625,52266.328125,490815.28125,490934.96875,-84333.546875,-124314.7578125,0
4.0,-112880.1640625,-42925.8046875,490914.25,52276.5234375,490763.125,490882.53125,-84202.1875,-123765.234375,0
5.0,-112680.8046875,-46469.94140625,490565.15625,51024.6015625,490413.5625,490533.25,-84364.9921875,-124772.671875,0
