EEG Channel 1,EEG Channel 2,EEG Channel 3,EEG Channel 4,EEG Channel 5,EEG Channel 6,EEG Channel 7,EEG Channel 8,Marker
-31572.685546875,26947.685546875,204983.265625,17284.7578125,122529.140625,308427.625,-17399.7578125,-19742.6015625,0.0
-31805.701171875,25821.4921875,204085.53125,15790.4326171875,120990.15625,308864.5625,-17625.869140625,-20431.99609375,0.0
-32002.44140625,24302.69140625,196615.046875,13096.220703125,117803.359375,302223.53125,-17860.091796875,-21409.125,0.0
-31857.19921875,24845.369140625,195089.0625,13551.5927734375,118137.765625,300101.15625,-17696.41015625,-21048.76953125,0.0
-31587.16796875,26781.3203125,203180.28125,16841.791015625,121965.9453125,306696.71875,-17408.474609375,-19857.66796875,0.0
-31741.6640625,26312.068359375,205384.71875,16535.68359375,121828.484375,309686.125,-17542.921875,-20142.919921875,0.0
-31982.794921875,24584.390625,198547.5,13626.2255859375,118475.453125,304076.75,-17822.00390625,-21219.15625,0.0
-31934.71484375,24444.4453125,194319.875,12935.623046875,117478.9453125,299628.09375,-17760.716796875,-21296.203125,0.0
-31617.544921875,26405.140625,200879.546875,16118.265625,121089.9375,304682.78125,-17427.384765625,-20079.3515625,0.0
-31649.798828125,26720.634765625,206013.4375,17132.87890625,122463.4921875,309854.75,-17443.142578125,-19887.306640625,0.0
-31994.26171875,24223.6328125,194492.078125,12699.3212890625,117256.1171875,299990.875,-17815.568359375,-21440.3046875,0.0
-31709.74609375,25853.142578125,198436.59375,15168.6298828125,119963.203125,302666.03125,-17510.869140625,-20417.9140625,0.0
-31611.107421875,26941.8515625,205817.765625,17367.50390625,122646.890625,309330.65625,-17400.361328125,-19752.7265625,0.0
-31877.115234375,25461.271484375,202769.4375,15235.8857421875,120339.1171875,307801.53125,-17674.28125,-20646.236328125,0.0
-32025.576171875,24192.654296875,195503.734375,12841.6123046875,117456.484375,301057.5,-17846.279296875,-21446.607421875,0.0
-31796.447265625,25253.1328125,196354.59375,14211.2822265625,118849.890625,301025.53125,-17610.646484375,-20770.021484375,0.0
-31585.4921875,26931.994140625,204676.15625,17242.3125,122426.953125,308076.53125,-17387.6875,-19752.123046875,0.0
-31799.666015625,25956.2734375,204492.828125,16061.6044921875,121266.0859375,309103.0,-17586.037109375,-20341.939453125,0.0
-32009.146484375,24364.248046875,197141.625,13243.8095703125,117961.140625,302692.4375,-17828.375,-21340.59375,0.0
-31881.876953125,24737.947265625,194915.859375,13422.712890625,117973.4765625,299963.15625,-17684.810546875,-21091.283203125,0.0
-31584.21875,26723.451171875,202786.609375,16752.33984375,121813.7265625,306312.625,-17377.09375,-19873.693359375,0.0
-31963.416015625,24698.787109375,199185.609375,13900.1455078125,118773.78125,304622.90625,-17769.298828125,-21134.935546875,0.0
-31938.939453125,24382.95703125,194406.90625,12926.5712890625,117461.578125,299723.71875,-17750.79296875,-21316.453125,0.0
-31618.21484375,26273.443359375,200384.890625,15984.423828125,120910.0234375,304228.15625,-17424.3671875,-20134.740234375,0.0
-31621.634765625,26782.86328125,206148.28125,17286.099609375,122605.8515625,309842.625,-17409.48046875,-19830.173828125,0.0
-31900.78515625,25120.564453125,201321.171875,14695.5546875,119726.296875,306542.15625,-17693.662109375,-20858.935546875,0.0
-31973.40625,24211.83203125,194768.265625,12829.5419921875,117415.78125,300222.125,-17782.912109375,-21426.759765625,0.0
-31703.107421875,25712.4609375,197989.34375,15028.283203125,119809.71875,302271.28125,-17499.669921875,-20482.689453125,0.0
-31584.419921875,26959.3515625,205729.984375,17436.83984375,122725.28125,309153.28125,-17361.87109375,-19726.640625,0.0
-31850.560546875,25587.40234375,203303.796875,15540.919921875,120709.0625,308186.15625,-17634.451171875,-20579.115234375,0.0
-32009.416015625,24218.40234375,195911.03125,12973.3759765625,117651.2734375,301435.09375,-17835.21484375,-21437.01953125,0.0
-31820.05078125,25106.68359375,195966.28125,14049.8798828125,118713.5625,300700.1875,-17617.21875,-20859.875,0.0
-31585.291015625,26895.8515625,204299.765625,17218.57421875,122430.1015625,307658.03125,-17362.876953125,-19775.45703125,0.0
-31778.87890625,26071.607421875,204901.859375,16276.3818359375,121533.9765625,309362.09375,-17540.91015625,-20272.60546875,0.0
-32009.21484375,24414.203125,197650.640625,13364.173828125,118128.5078125,303161.78125,-17812.482421875,-21310.6875,0.0
-31904.541015625,24612.888671875,194702.6875,13255.611328125,117788.9375,299804.84375,-17707.810546875,-21172.083984375,0.0
-31598.03125,26598.86328125,202199.203125,16538.568359375,121552.078125,305768.6875,-17397.27734375,-19947.923828125,0.0
-31697.474609375,26502.7734375,205871.078125,16865.796875,122132.9140625,309880.84375,-17482.7734375,-20013.97265625,0.0
-31952.955078125,24765.037109375,199658.8125,14031.0380859375,118900.515625,305038.1875,-17775.46875,-21095.775390625,0.0
-31947.1875,24313.888671875,194356.421875,12829.3408203125,117317.2109375,299700.90625,-17777.4140625,-21377.138671875,0.0
-31633.705078125,26161.328125,199728.546875,15730.015625,120562.8828125,303654.625,-17455.212890625,-20229.35546875,0.0
-31600.712890625,26865.005859375,206094.578125,17322.30859375,122578.8984375,309694.6875,-17406.26171875,-19795.306640625,0.0
-31980.58203125,24205.728515625,194933.765625,12758.8662109375,117266.2421875,300426.71875,-17807.923828125,-21444.060546875,0.0
-31717.255859375,25576.47265625,197361.828125,14732.099609375,119383.1796875,301756.15625,-17530.1796875,-20572.408203125,0.0
-31559.541015625,26981.8828125,205351.203125,17378.3671875,122563.2734375,308729.90625,-17355.30078125,-19722.015625,0.0
-31811.87109375,25730.498046875,203628.21875,15674.5615234375,120788.65625,308406.15625,-17596.095703125,-20499.251953125,0.0
-31988.76171875,24277.142578125,196172.609375,13011.1279296875,117635.3828125,301682.59375,-17812.21484375,-21406.77734375,0.0
-31816.4296875,25013.744140625,195455.125,13851.4638671875,118413.359375,300251.03125,-17623.185546875,-20936.787109375,0.0
-31560.81640625,26886.73046875,203745.015625,17099.41796875,122204.0546875,307108.78125,-17353.826171875,-19792.7578125,0.0
-31738.84765625,26210.14453125,205099.53125,16448.51171875,121658.2265625,309437.28125,-17519.25,-20199.515625,0.0
-31974.009765625,24514.048828125,198009.65625,13565.205078125,118320.7578125,303480.28125,-17789.818359375,-21260.59765625,0.0
-31902.595703125,24550.662109375,194483.484375,13169.3779296875,117662.140625,299638.28125,-17716.458984375,-21221.5703125,0.0
-31588.173828125,26525.705078125,201548.96875,16419.880859375,121374.7890625,305177.84375,-17406.865234375,-19997.611328125,0.0
-31647.787109375,26617.83984375,205952.34375,17059.720703125,122324.4921875,309836.5,-17453.73828125,-19940.01171875,0.0
-31925.39453125,24876.013671875,200150.0625,14228.11328125,119120.1171875,305490.0625,-17750.255859375,-21020.0703125,0.0
-31964.689453125,24256.490234375,194357.296875,12812.107421875,117301.515625,299730.21875,-17793.908203125,-21410.8671875,0.0
-31661.8671875,26003.412109375,199073.828125,15513.1591796875,120295.796875,303089.40625,-17479.083984375,-20324.572265625,0.0
-31596.689453125,26890.017578125,205942.75,17400.427734375,122639.578125,309438.8125,-17403.78125,-19784.779296875,0.0
-31871.818359375,25327.630859375,202249.359375,15053.361328125,120072.3046875,307297.9375,-17687.15625,-20735.0859375,0.0
-31996.67578125,24181.791015625,195172.140625,12835.107421875,117385.3984375,300642.15625,-17827.1015625,-21460.220703125,0.0
-31750.716796875,25410.041015625,196869.375,14531.9404296875,119176.3828125,301340.28125,-17559.08203125,-20674.265625,0.0
-31566.248046875,26952.51171875,205045.421875,17410.822265625,122611.484375,308366.65625,-17358.1171875,-19740.119140625,0.0
-31806.3046875,25823.03515625,204085.1875,15926.8232421875,121096.5703125,308741.375,-17587.580078125,-20422.673828125,0.0
-31996.80859375,24295.650390625,196630.125,13191.9755859375,117872.421875,302121.0625,-17807.3203125,-21372.310546875,0.0
-31846.26953125,24860.255859375,195216.8125,13685.5693359375,118247.1328125,300113.5625,-17635.994140625,-20997.875,0.0
-31568.326171875,26799.693359375,203371.59375,16976.572265625,122063.5078125,306777.1875,-17355.3671875,-19815.220703125,0.0
-31720.609375,26297.78515625,205515.75,16589.931640625,121827.4765625,309745.65625,-17501.078125,-20116.701171875,0.0
-31971.39453125,24574.33203125,198609.0625,13723.791015625,118524.671875,304050.375,-17786.0625,-21209.5,0.0
-31935.453125,24425.669921875,194408.453125,13071.611328125,117578.5234375,299599.9375,-17751.529296875,-21289.296875,0.0
-31619.48828125,26374.697265625,201034.1875,16208.5224609375,121139.9609375,304719.46875,-17430.73828125,-20074.255859375,0.0
-31651.33984375,26667.4609375,206137.421875,17125.435546875,122395.4296875,309897.28125,-17442.001953125,-19889.51953125,0.0
-31928.748046875,24955.2734375,200767.234375,14398.5,119336.3046875,306022.0625,-17741.001953125,-20954.69140625,0.0
-31987.0859375,24194.798828125,194561.265625,12780.3232421875,117310.6328125,299941.1875,-17806.91796875,-21429.107421875,0.0
-31696.06640625,25837.98828125,198593.109375,15225.291015625,120004.2421875,302717.875,-17491.7578125,-20388.41015625,0.0
-31869.470703125,25428.146484375,202748.921875,15276.119140625,120359.96875,307701.46875,-17650.880859375,-20659.111328125,0.0
-32010.82421875,24173.744140625,195501.390625,12850.6650390625,117441.328125,300988.65625,-17815.166015625,-21437.623046875,0.0
-31779.080078125,25254.943359375,196407.640625,14283.7021484375,118917.8125,300990.1875,-17563.708984375,-20737.900390625,0.0
-31556.591796875,26933.8046875,204721.140625,17303.802734375,122493.8671875,308040.375,-17338.40234375,-19719.6015625,0.0
-31771.302734375,25944.740234375,204536.75,16036.4580078125,121225.5859375,309104.8125,-17554.857421875,-20323.96875,0.0
-31987.220703125,24350.501953125,197145.25,13241.5966796875,117951.015625,302639.15625,-17812.080078125,-21330.87109375,0.0
-31860.552734375,24743.712890625,194955.484375,13457.447265625,118003.515625,299936.28125,-17678.373046875,-21073.244140625,0.0
-31559.810546875,26714.869140625,202841.921875,16755.55859375,121814.671875,306315.71875,-17374.142578125,-19864.171875,0.0
-31695.1953125,26409.431640625,205719.125,16732.15625,122001.6875,309833.75,-17490.6171875,-20057.42578125,0.0
-31948.73046875,24669.6171875,199104.40625,13865.4111328125,118724.8984375,304515.28125,-17785.056640625,-21141.9765625,0.0
-31922.578125,24370.953125,194355.8125,12907.728515625,117431.875,299637.5625,-17761.72265625,-21309.48046875,0.0
-31610.03515625,26276.4609375,200415.125,15935.40625,120842.703125,304237.34375,-17430.134765625,-20125.888671875,0.0
-31623.37890625,26763.818359375,206142.453125,17205.90234375,122493.5390625,309840.53125,-17420.74609375,-19830.375,0.0
-31909.302734375,25080.93359375,201212.28125,14626.0859375,119612.4375,306420.375,-17715.587890625,-20871.67578125,0.0
-31981.7890625,24180.650390625,194703.96875,12746.05859375,117268.390625,300153.28125,-17812.21484375,-21426.9609375,0.0
-31701.6328125,25706.357421875,198038.28125,14981.9482421875,119681.375,302309.625,-17521.59765625,-20471.759765625,0.0
-31580.396484375,26947.21484375,205716.375,17409.75,122612.359375,309125.53125,-17384.537109375,-19731.537109375,0.0
-31834.06640625,25568.359375,203229.703125,15481.173828125,120546.5859375,308109.65625,-17646.185546875,-20576.431640625,0.0
-31986.482421875,24220.4140625,195860.671875,12961.7080078125,117526.1484375,301366.5625,-17830.38671875,-21415.494140625,0.0
-31785.25,25130.689453125,196001.953125,14074.8916015625,118630.8203125,300701.5,-17610.982421875,-20831.98046875,0.0
-31557.1953125,26901.55078125,204313.984375,17228.833984375,122349.6328125,307650.5,-17369.248046875,-19762.3828125,0.0
-31771.435546875,26049.14453125,204794.296875,16252.3759765625,121449.21875,309244.15625,-17564.916015625,-20287.22265625,0.0
-32002.240234375,24402.201171875,197544.21875,13343.05078125,118065.0078125,303040.0625,-17834.544921875,-21314.576171875,0.0
-31917.68359375,24597.599609375,194698.609375,13245.150390625,117755.8828125,299782.46875,-17747.9765625,-21178.7890625,0.0
-31620.830078125,26582.234375,202243.25,16529.984375,121529.8203125,305792.5625,-17442.337890625,-19968.845703125,0.0
-31721.81640625,26464.484375,205814.015625,16856.54296875,122110.8515625,309810.90625,-17520.927734375,-20050.787109375,0.0
-31986.951171875,24723.6640625,199554.265625,14024.4658203125,118880.6015625,304914.46875,-17812.080078125,-21133.392578125,0.0
-31999.15625,24267.822265625,194330.140625,12820.4228515625,117295.75,299649.21875,-17822.33984375,-21417.572265625,0.0
-31689.830078125,26101.783203125,199788.96875,15691.9287109375,120509.5703125,303696.0625,-17491.556640625,-20275.353515625,0.0
-31671.724609375,26774.75,206071.703125,17244.66015625,122477.9140625,309667.875,-17436.7734375,-19874.765625,0.0
-31958.318359375,25143.765625,201673.6875,14765.4267578125,119738.7734375,306805.40625,-17727.92578125,-20892.462890625,0.0
-32061.71875,24116.345703125,194851.078125,12708.171875,117211.125,300304.15625,-17848.826171875,-21534.25,0.0
-31787.931640625,25494.6640625,197426.203125,14654.115234375,119283.3359375,301805.375,-17566.255859375,-20642.34765625,0.0
-31630.888671875,26882.306640625,205402.21875,17285.4296875,122427.6875,308790.1875,-17395.265625,-19802.078125,0.0
-31888.783203125,25612.4140625,203610.109375,15538.908203125,120581.7890625,308416.40625,-17646.3203125,-20583.33984375,0.0
-32067.484375,24189.703125,196192.53125,12948.498046875,117493.4921875,301707.34375,-17846.078125,-21486.572265625,0.0
-31877.853515625,24937.16796875,195549.671875,13815.1201171875,118299.765625,300348.0,-17644.30859375,-20999.751953125,0.0
-31624.65234375,26785.076171875,203857.546875,17022.103515625,122048.5546875,307236.5,-17380.78125,-19857.3984375,0.0
-31812.33984375,26094.40625,205129.25,16343.5712890625,121474.6328125,309482.875,-17555.326171875,-20283.400390625,0.0
-31977.765625,24457.65625,194549.875,13090.2529296875,117509.859375,299696.90625,-17736.375,-21299.556640625,0.0
-31672.060546875,26433.03515625,201667.65625,16347.7958984375,121237.125,305279.84375,-17420.27734375,-20074.92578125,0.0
-31752.9296875,26502.103515625,205975.078125,16960.748046875,122160.609375,309854.09375,-17477.474609375,-20035.23046875,0.0
-32024.501953125,24771.072265625,200108.625,14169.775390625,119009.2109375,305420.875,-17771.646484375,-21112.740234375,0.0
-32051.19140625,24175.287109375,194394.234375,12767.248046875,117206.5,299740.34375,-17806.314453125,-21480.939453125,0.0
-31750.515625,25918.990234375,199182.390625,15453.48046875,120195.484375,303179.53125,-17501.8828125,-20391.494140625,0.0
-31696.267578125,26778.705078125,205971.796875,17308.8984375,122509.9609375,309470.78125,-17433.15234375,-19879.59375,0.0
-32090.619140625,24079.93359375,195148.40625,12732.177734375,117222.9921875,300621.65625,-17854.59375,-21551.68359375,0.0
-31851.701171875,25313.482421875,196877.703125,14474.7421875,119063.125,301339.53125,-17592.408203125,-20772.033203125,0.0
-31661.599609375,26844.486328125,205015.1875,17326.6015625,122460.4765625,308335.75,-17387.822265625,-19839.09375,0.0
-31895.01953125,25704.078125,203984.953125,15809.2080078125,120890.3125,308648.75,-17620.1015625,-20519.033203125,0.0
-32084.919921875,24189.904296875,196550.671875,13114.794921875,117701.765625,302030.625,-17841.787109375,-21466.9921875,0.0
-31935.38671875,24768.79296875,195199.03125,13621.330078125,118079.4921875,300072.34375,-17672.806640625,-21081.224609375,0.0
-31660.9296875,26686.50390625,203303.796875,16914.076171875,121888.96875,306688.9375,-17390.37109375,-19913.12109375,0.0
-31817.16796875,26187.546875,205364.875,16523.546875,121641.3984375,309575.46875,-17534.47265625,-20220.16796875,0.0
-32066.2109375,24469.189453125,198524.96875,13616.30078125,118283.9453125,303949.40625,-17813.421875,-21289.228515625,0.0
-32019.271484375,24353.51953125,194363.65625,13025.41015625,117399.6875,299536.625,-17756.0234375,-21354.80859375,0.0
-31713.3671875,26302.27734375,200991.875,16175.59765625,120976.0078125,304663.0,-17441.734375,-20148.888671875,0.0
-31760.9765625,26572.509765625,205990.234375,17093.115234375,122228.1328125,309747.40625,-17466.880859375,-19984.06640625,0.0
-32027.990234375,24870.380859375,200596.78125,14375.7685546875,119170.9453125,305844.03125,-17753.876953125,-21031.73828125,0.0
-32077.611328125,24126.537109375,194499.78125,12726.27734375,117093.7109375,299893.3125,-17809.130859375,-21491.6015625,0.0
-31782.232421875,25772.943359375,198590.75,15211.947265625,119836.8046875,302716.375,-17493.232421875,-20462.7734375,0.0
-31690.568359375,26821.6875,205820.71875,17395.19921875,122515.6640625,309252.71875,-17377.49609375,-19822.53125,0.0
-31950.2734375,25347.6796875,202658.859375,15229.7841796875,120170.7421875,307610.9375,-17646.857421875,-20712.48828125,0.0
-32086.931640625,24098.373046875,195427.15625,12848.18359375,117305.609375,300891.875,-17813.82421875,-21496.83203125,0.0
-31659.521484375,26832.349609375,204723.890625,17263.904296875,122302.828125,308031.46875,-17355.501953125,-19806.7734375,0.0
-31887.7109375,25824.443359375,204397.0,16021.03515625,121055.671875,308936.78125,-17576.984375,-20422.271484375,0.0
-32093.703125,24237.916015625,197005.4375,13233.7509765625,117780.421875,302462.71875,-17823.279296875,-21421.865234375,0.0
-31965.560546875,24637.029296875,194922.5625,13457.5146484375,117840.7734375,299865.59375,-17684.7421875,-21149.955078125,0.0
-31670.31640625,26605.099609375,202814.296875,16808.263671875,121713.3515625,306235.5,-17378.3671875,-19944.771484375,0.0
-31795.7109375,26277.6015625,205611.296875,16732.021484375,121842.1640625,309689.125,-17488.0703125,-20141.84765625,0.0
-32044.41796875,24556.2265625,199033.921875,13827.390625,118510.453125,304415.5,-17764.203125,-21213.994140625,0.0
-32024.099609375,24287.3359375,194346.359375,12949.90625,117290.515625,299571.3125,-17730.408203125,-21373.78515625,0.0
-31709.677734375,26192.77734375,200469.90625,15961.1552734375,120678.890625,304245.59375,-17402.10546875,-20183.7578125,0.0
-31713.568359375,26665.046875,206113.140625,17195.9765625,122301.2890625,309780.3125,-17385.54296875,-19901.455078125,0.0
-31978.771484375,24995.70703125,201156.75,14608.115234375,119415.96875,306328.375,-17677.568359375,-20936.25,0.0
-32046.49609375,24112.58984375,194656.828125,12799.568359375,117160.96875,300039.8125,-17763.197265625,-21479.12890625,0.0
-31761.51171875,25636.5546875,198025.6875,15062.01171875,119622.96875,302213.0625,-17468.623046875,-20515.478515625,0.0
-31643.763671875,26852.869140625,205660.921875,17444.013671875,122509.4921875,309008.125,-17339.20703125,-19786.990234375,0.0
-31905.748046875,25466.76953125,203166.140625,15438.19140625,120346.2890625,308011.40625,-17602.599609375,-20625.919921875,0.0
-32057.025390625,24133.443359375,195803.40625,12970.4248046875,117378.96875,301258.75,-17782.509765625,-21462.767578125,0.0
-31861.55859375,25054.71484375,196031.921875,14094.94140625,118482.09375,300685.40625,-17574.369140625,-20880.796875,0.0
-31633.16796875,26812.30078125,204343.296875,17228.431640625,122169.65625,307649.1875,-17337.462890625,-19818.306640625,0.0
-31844.2578125,25962.978515625,204822.53125,16203.626953125,121205.1328125,309261.84375,-17528.16796875,-20330.876953125,0.0
-32077.41015625,24319.791015625,197505.328125,13347.7451171875,117885.03125,302965.09375,-17790.48828125,-21371.3046875,0.0
-31968.376953125,24555.69140625,194711.078125,13315.357421875,117643.09375,299737.40625,-17675.220703125,-21207.689453125,0.0
-31663.74609375,26525.638671875,202285.03125,16590.669921875,121399.53125,305782.4375,-17361.939453125,-19984.603515625,0.0
-31770.83203125,26388.443359375,205828.5625,16834.21484375,121879.7109375,309799.375,-17450.853515625,-20073.384765625,0.0
-32029.666015625,24657.345703125,199557.421875,13991.005859375,118626.2578125,304890.3125,-17748.244140625,-21166.31640625,0.0
-32027.720703125,24223.296875,194340.125,12863.337890625,117121.40625,299604.6875,-17750.322265625,-21427.765625,0.0
-31710.884765625,26069.193359375,199884.65625,15756.234375,120347.234375,303725.15625,-17419.94140625,-20268.044921875,0.0
-31692.4453125,26723.720703125,206078.75,17311.044921875,122322.8828125,309610.0,-17392.046875,-19888.84765625,0.0
-31966.90234375,25093.271484375,201655.921875,14773.205078125,119520.3046875,306739.15625,-17689.4375,-20897.626953125,0.0
-32067.955078125,24085.298828125,194870.59375,12744.1806640625,117033.0234375,300270.21875,-17811.611328125,-21535.724609375,0.0
-31805.8359375,25476.359375,197486.28125,14744.7060546875,119195.5546875,301779.75,-17533.869140625,-20660.85546875,0.0
-31643.763671875,26853.0703125,205434.953125,17367.50390625,122361.90625,308745.53125,-17372.19921875,-19832.65625,0.0
-31891.0625,25572.78515625,203567.265625,15626.482421875,120545.4453125,308305.71875,-17622.11328125,-20613.044921875,0.0
-32070.501953125,24141.22265625,196141.5625,12974.11328125,117399.6875,301603.46875,-17829.91796875,-21511.048828125,0.0
-31886.705078125,24905.451171875,195598.421875,13818.3388671875,118177.59375,300347.53125,-17634.115234375,-21014.5703125,0.0
-31621.5,26755.90625,203866.265625,17071.857421875,121967.7578125,307187.4375,-17366.029296875,-19883.818359375,0.0
-31805.298828125,26059.60546875,205049.65625,16384.67578125,121371.296875,309352.3125,-17539.703125,-20312.50390625,0.0
-32037.712890625,24375.177734375,197923.28125,13495.7353515625,118009.015625,303338.1875,-17815.3671875,-21368.01953125,0.0
-31971.39453125,24443.9765625,194507.21875,13118.6171875,117360.9921875,299598.46875,-17743.6171875,-21318.130859375,0.0
-31670.31640625,26421.166015625,201685.421875,16388.833984375,121080.0078125,305247.53125,-17431.20703125,-20094.103515625,0.0
-31740.5234375,26475.615234375,205949.0625,16962.357421875,121946.765625,309805.40625,-17483.912109375,-20057.0234375,0.0
