0, -43288.84375, -94.68197631835938, 145.97923278808594, -334.53851318359375, -3645.591552734375, -2919.517578125, 10363.8544921875, -20259.462890625, , 1718311381129.763
1, -50388.58203125, -2049.140625, -5417.5927734375, -1404.7398681640625, -3703.259033203125, -8450.0986328125, 9298.2802734375, -28079.443359375, , 1718311381133.591
2, -49335.27734375, -507.0045471191406, -4105.12109375, 149.73431396484375, -3447.577392578125, -6893.2099609375, 10201.3798828125, -27180.96875, , 1718311381137.735
3, -41969.0625, 1784.4066162109375, 1780.718505859375, 1495.33154296875, -3337.942138671875, -961.2366333007812, 11460.2744140625, -19359.111328125, , 1718311381141.39
4, -41584.765625, 671.9603881835938, 1612.7452392578125, 140.88302612304688, -3574.781005859375, -1319.378662109375, 10791.2646484375, -18993.861328125, , 1718311381145.579
5, -48860.73046875, -1817.1966552734375, -4282.8173828125, -1495.3985595703125, -3729.209228515625, -7277.2353515625, 9406.8427734375, -27028.083984375, , 1718311381149.312
6, -50662.83984375, -1205.317626953125, -5274.02734375, -533.8936767578125, -3523.014404296875, -8047.029296875, 9796.1650390625, -29272.556640625, , 1718311381153.111
7, -43764.8671875, 1406.0810546875, 397.23516845703125, 1271.5682373046875, -3319.635986328125, -2234.14599609375, 11249.51953125, -22013.359375, , 1718311381157.341
8, -40595.43359375, 1312.3377685546875, 2505.049072265625, 621.4678344726562, -3483.92138671875, -276.87103271484375, 11148.9375, -18637.12890625, , 1718311381161.165
9, -46821.578125, -1298.9937744140625, -2726.934814453125, -1331.1802978515625, -3706.41064453125, -5637.869140625, 9690.2177734375, -25494.798828125, , 1718311381164.846
10, -51199.078125, -1712.322265625, -5867.46630859375, -1087.5687255859375, -3581.888916015625, -8607.3427734375, 9506.486328125, -30506.3046875, , 1718311381169.128
11, -45797.64453125, 835.8433837890625, -1236.2972412109375, 899.881103515625, -3330.56591796875, -3770.917724609375, 10939.5908203125, -24884.060546875, , 1718311381172.929
12, -40284.23046875, 1756.5787353515625, 2851.12109375, 1019.17236328125, -3404.796142578125, 230.20059204101562, 11414.408203125, -18967.173828125, , 1718311381176.76
13, -44610.56640625, -595.048095703125, -998.1170043945312, -938.9072875976562, -3666.5126953125, -3818.32568359375, 10070.890625, -23682.630859375, , 1718311381180.55
14, -50971.4921875, -1988.8580322265625, -5852.71435546875, -1485.13916015625, -3650.352294921875, -8602.984375, 9330.265625, -30740.126953125, , 1718311381184.472
15, -47868.98046875, 96.82774353027344, -2944.4619140625, 333.26446533203125, -3392.6591796875, -5464.06201171875, 10520.0263671875, -27586.51953125, , 1718311381188.338
16, -40828.65234375, 1938.9688720703125, 2544.00830078125, 1264.594482421875, -3346.6591796875, -4.492700099945068, 11515.3271484375, -20020.07421875, , 1718311381192.565
17, -42541.9140625, 175.28236389160156, 706.2256469726562, -449.0018005371094, -3626.883056640625, -2069.592529296875, 10494.34375, -21846.056640625, , 1718311381196.293
18, -49805.60546875, -1962.7064208984375, -5041.14501953125, -1647.4798583984375, -3704.532958984375, -7860.146484375, 9334.0205078125, -29793.642578125, , 1718311381200.004
19, -49457.85546875, -618.6514892578125, -4288.11474609375, -191.2415008544922, -3446.772705078125, -6904.2744140625, 10125.673828125, -29582.486328125, , 1718311381203.882
20, -42102.56640625, 1778.17041015625, 1609.526611328125, 1302.4136962890625, -3308.638916015625, -942.3941650390625, 11443.1083984375, -21651.73046875, , 1718311381208.232
21, -40960.6171875, 927.8431396484375, 2042.703369140625, 130.5565185546875, -3530.79296875, -721.8494873046875, 10918.736328125, -20332.619140625, , 1718311381212.081
22, -48027.1640625, -1623.3399658203125, -3738.932373046875, -1588.940673828125, -3703.79541015625, -6629.28076171875, 9504.6083984375, -27982.75, , 1718311381215.949
23, -50538.78515625, -1282.02880859375, -5316.74169921875, -790.5140380859375, -3520.66748046875, -8023.828125, 9745.0693359375, -30817.44140625, , 1718311381219.807
24, -43959.4609375, 1345.1278076171875, 143.7664031982422, 1108.288818359375, -3288.9248046875, -2423.778076171875, 11202.1123046875, -23730.912109375, , 1718311381223.622
25, -40091.8515625, 1508.8095703125, 2818.398193359375, 639.57275390625, -3447.041015625, 96.4254150390625, 11245.7646484375, -19439.51171875, , 1718311381227.403
26, -45868.58984375, -1081.6678466796875, -2112.843017578125, -1349.553466796875, -3703.862548828125, -4992.5966796875, 9789.2578125, -25627.501953125, , 1718311381231.22
27, -50884.1875, -1779.77978515625, -5803.09326171875, -1292.62353515625, -3609.582763671875, -8543.439453125, 9446.2705078125, -31121.603515625, , 1718311381235.584
28, -46034.8203125, 680.6776123046875, -1590.48291015625, 689.7300415039062, -3341.630126953125, -4116.9228515625, 10841.1533203125, -25936.08984375, , 1718311381239.577
29, -40016.2109375, 1871.9136962890625, 2936.68359375, 1046.3297119140625, -3380.052734375, 326.6260070800781, 11460.4755859375, -19342.81640625, , 1718311381242.942
30, -43719.06640625, -367.79791259765625, -448.33123779296875, -869.9744873046875, -3654.778076171875, -3277.59228515625, 10187.56640625, -23232.556640625, , 1718311381247.117
31, -50428.27734375, -1989.2603759765625, -5635.25390625, -1585.1185302734375, -3659.60595703125, -8416.90625, 9326.9794921875, -30498.125, , 1718311381250.771
0, -48041.984375, -74.49835205078125, -3300.39111328125, 167.23573303222656, -3391.385009765625, -5837.7607421875, 10437.6826171875, -27956.93359375, , 1718311381255.065
1, -40908.44921875, 1909.1292724609375, 2271.0263671875, 1234.6878662109375, -3324.329833984375, -252.73114013671875, 11507.4140625, -20148.619140625, , 1718311381258.791
