1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
4.0,-36408.7734375,-7794.56640625,-140988.109375,-47381.35546875,-16218.513671875,-332796.15625,-20961.53125,-62623.27734375,0
5.0,-33986.671875,-7768.48193359375,-139115.71875,-47455.85546875,-15615.2177734375,-330858.59375,-21044.0078125,-60348.36328125,0
6.0,-30169.62109375,-7756.7470703125,-136514.984375,-47468.19140625,-15620.58203125,-328756.8125,-21056.279296875,-56555.44921875,0
7.0,-31776.599609375,-7780.88720703125,-137839.25,-47396.77734375,-16232.662109375,-330209.3125,-20976.88671875,-58016.515625,0
8.0,-35992.765625,-7800.5341796875,-140786.140625,-47374.515625,-16329.7578125,-332672.5625,-20947.181640625,-62173.671875,0
10.0,-30812.8828125,-7764.72705078125,-136969.28125,-47485.9609375,-15516.51171875,-329022.90625,-21067.6796875,-57207.8984375,0
11.0,-30764.736328125,-7783.90478515625,-137145.765625,-47431.4453125,-16078.30078125,-329478.1875,-21005.51953125,-57029.53125,0
12.0,-35111.5234375,-7809.1845703125,-140256.328125,-47381.625,-16393.9296875,-332223.5,-20946.041015625,-61268.08984375,0
13.0,-35941.1328125,-7790.9453125,-140668.71875,-47428.09375,-15903.5546875,-332230.40625,-20990.833984375,-62195.3984375,0
14.0,-31777.404296875,-7766.33642578125,-137676.84375,-47487.37109375,-15479.8330078125,-329496.90625,-21054.46875,-58153.109375,0
15.0,-30121.67578125,-7782.5634765625,-136702.265625,-47457.6640625,-15887.1259765625,-328957.59375,-21025.970703125,-56424.55859375,0
16.0,-33961.05859375,-7812.134765625,-139522.078125,-47392.01953125,-16391.314453125,-331595.46875,-20959.98828125,-60129.55859375,0
17.0,-36391.54296875,-7808.9833984375,-141103.4375,-47416.15625,-16089.1640625,-332670.09375,-20982.787109375,-62605.640625,0
18.0,-33050.8515625,-7782.1611328125,-138625.140625,-47488.64453125,-15520.333984375,-330274.0625,-21059.296875,-59409.9921875,0
19.0,-29962.5546875,-7785.7822265625,-136597.0,-47484.28515625,-15734.0390625,-328737.71875,-21058.42578125,-56308.28515625,0
20.0,-32652.408203125,-7814.146484375,-138665.046875,-47418.5703125,-16322.515625,-330790.9375,-20981.580078125,-58849.4765625,0
21.0,-36307.1171875,-7827.1552734375,-141172.5,-47416.6953125,-16251.5712890625,-332769.0625,-20979.30078125,-62491.91796875,0
22.0,-34267.703125,-7801.00390625,-139554.46875,-47487.16796875,-15635.9375,-331051.59375,-21053.462890625,-60600.35546875,0
23.0,-30238.6875,-7790.2080078125,-136790.171875,-47513.45703125,-15580.9521484375,-328763.375,-21076.462890625,-56613.98828125,0
24.0,-31451.650390625,-7815.62158203125,-137846.90625,-47453.91015625,-16183.5771484375,-329991.78125,-21005.787109375,-57687.07421875,0
25.0,-35776.9140625,-7832.9892578125,-140889.0,-47416.42578125,-16336.2626953125,-332579.21875,-20963.609375,-61943.40625,0
26.0,-35346.75390625,-7809.45263671875,-140400.296875,-47474.96484375,-15779.1669921875,-331800.1875,-21023.01953125,-61642.19140625,0
28.0,-30528.76953125,-7809.1845703125,-137208.671875,-47477.71484375,-16027.1376953125,-329308.28125,-21019.734375,-56798.0546875,0
29.0,-34796.03125,-7828.49658203125,-140282.953125,-47417.69921875,-16395.0703125,-332065.46875,-20949.99609375,-60955.4140625,0
30.0,-36061.36328125,-7816.42626953125,-141006.40625,-47463.5,-15949.15234375,-332355.46875,-20997.001953125,-62313.75,0
31.0,-32059.439453125,-7795.37109375,-138109.421875,-47536.3203125,-15499.345703125,-329664.28125,-21072.841796875,-58431.1875,0
0.0,-30023.708984375,-7799.595703125,-136848.453125,-47511.7109375,-15843.1376953125,-328870.0,-21041.392578125,-56326.92578125,0
1.0,-33592.72265625,-7827.9599609375,-139498.546875,-47446.33203125,-16381.390625,-331370.6875,-20965.28515625,-59756.53125,0
2.0,-36356.00390625,-7824.40625,-141322.515625,-47455.71875,-16135.56640625,-332672.5,-20975.611328125,-62549.25,0
3.0,-33268.78125,-7793.2255859375,-139005.609375,-47522.3046875,-15559.830078125,-330373.78125,-21050.646484375,-59609.14453125,0
4.0,-29900.259765625,-7792.2197265625,-136755.4375,-47517.61328125,-15683.009765625,-328622.96875,-21051.451171875,-56241.1640625,0
8.0,-30354.626953125,-7788.5986328125,-137081.734375,-47541.88671875,-15577.9345703125,-328781.75,-21066.404296875,-56711.0859375,0
9.0,-31162.9765625,-7808.31298828125,-137858.765625,-47475.8359375,-16151.7265625,-329780.40625,-20992.77734375,-57379.0234375,0
10.0,-35548.1875,-7828.83154296875,-140965.3125,-47439.828125,-16372.13671875,-332460.75,-20949.259765625,-61680.81640625,0
11.0,-35541.81640625,-7817.96875,-140786.328125,-47504.06640625,-15831.26953125,-331941.9375,-21019.533203125,-61803.4609375,0
12.0,-31209.580078125,-7802.412109375,-137711.390625,-47553.62109375,-15482.1796875,-329204.28125,-21074.048828125,-57575.359375,0
13.0,-30328.072265625,-7818.43798828125,-137288.59375,-47509.43359375,-15978.052734375,-329153.125,-21028.25,-56593.06640625,0
16.0,-32353.9453125,-7806.3681640625,-138554.46875,-47569.9140625,-15492.640625,-329844.125,-21080.28515625,-58707.65625,0
